Datetime,Year,Month,Day,Hour,Minute,Week,Day of week,Steps
2025-10-07 23:25:01,2025,10,7,23,25,41,Tuesday,73
2025-10-07 23:27:27,2025,10,7,23,27,41,Tuesday,13
2025-10-07 23:27:34,2025,10,7,23,27,41,Tuesday,48
2025-10-07 23:37:48,2025,10,7,23,37,41,Tuesday,69
2025-10-08 00:02:21,2025,10,8,0,2,41,Wednesday,20
2025-10-08 08:13:41,2025,10,8,8,13,41,Wednesday,20
2025-10-08 09:01:24,2025,10,8,9,1,41,Wednesday,39
2025-10-08 09:02:42,2025,10,8,9,2,41,Wednesday,41
2025-10-08 09:04:02,2025,10,8,9,4,41,Wednesday,79
2025-10-08 09:43:06,2025,10,8,9,43,41,Wednesday,31
2025-10-08 09:43:45,2025,10,8,9,43,41,Wednesday,44
2025-10-08 09:45:13,2025,10,8,9,45,41,Wednesday,46
2025-10-08 09:47:04,2025,10,8,9,47,41,Wednesday,53
2025-10-08 09:48:50,2025,10,8,9,48,41,Wednesday,44
2025-10-08 09:49:51,2025,10,8,9,49,41,Wednesday,14
2025-10-08 10:36:05,2025,10,8,10,36,41,Wednesday,43
2025-10-08 10:38:02,2025,10,8,10,38,41,Wednesday,14
2025-10-08 10:39:02,2025,10,8,10,39,41,Wednesday,27
2025-10-08 10:48:05,2025,10,8,10,48,41,Wednesday,31
2025-10-08 10:49:07,2025,10,8,10,49,41,Wednesday,8
2025-10-08 10:49:40,2025,10,8,10,49,41,Wednesday,23
2025-10-08 10:51:34,2025,10,8,10,51,41,Wednesday,7
2025-10-08 10:53:45,2025,10,8,10,53,41,Wednesday,26
2025-10-08 10:54:45,2025,10,8,10,54,41,Wednesday,38
2025-10-08 10:55:48,2025,10,8,10,55,41,Wednesday,27
2025-10-08 10:56:48,2025,10,8,10,56,41,Wednesday,13
2025-10-08 10:56:55,2025,10,8,10,56,41,Wednesday,8
2025-10-08 10:58:39,2025,10,8,10,58,41,Wednesday,11
2025-10-08 10:59:39,2025,10,8,10,59,41,Wednesday,7
2025-10-08 11:00:08,2025,10,8,11,0,41,Wednesday,1
2025-10-08 11:01:08,2025,10,8,11,1,41,Wednesday,11
2025-10-08 11:02:26,2025,10,8,11,2,41,Wednesday,33
2025-10-08 11:03:32,2025,10,8,11,3,41,Wednesday,47
2025-10-08 11:04:02,2025,10,8,11,4,41,Wednesday,48
2025-10-08 11:48:55,2025,10,8,11,48,41,Wednesday,49
2025-10-08 11:52:31,2025,10,8,11,52,41,Wednesday,29
2025-10-08 11:53:31,2025,10,8,11,53,41,Wednesday,27
2025-10-08 11:56:42,2025,10,8,11,56,41,Wednesday,5
2025-10-08 11:59:33,2025,10,8,11,59,41,Wednesday,20
2025-10-08 12:45:17,2025,10,8,12,45,41,Wednesday,27
2025-10-08 12:47:27,2025,10,8,12,47,41,Wednesday,39
2025-10-08 12:49:15,2025,10,8,12,49,41,Wednesday,43
2025-10-08 12:52:01,2025,10,8,12,52,41,Wednesday,6
2025-10-08 13:26:17,2025,10,8,13,26,41,Wednesday,25
2025-10-08 13:37:30,2025,10,8,13,37,41,Wednesday,36
2025-10-08 13:38:43,2025,10,8,13,38,41,Wednesday,79
2025-10-08 13:39:58,2025,10,8,13,39,41,Wednesday,15
2025-10-08 13:40:58,2025,10,8,13,40,41,Wednesday,71
2025-10-08 13:42:02,2025,10,8,13,42,41,Wednesday,27
2025-10-08 14:06:11,2025,10,8,14,6,41,Wednesday,62
2025-10-08 14:08:15,2025,10,8,14,8,41,Wednesday,39
2025-10-08 14:08:48,2025,10,8,14,8,41,Wednesday,108
2025-10-08 14:09:51,2025,10,8,14,9,41,Wednesday,42
2025-10-08 14:10:15,2025,10,8,14,10,41,Wednesday,99
2025-10-08 14:11:13,2025,10,8,14,11,41,Wednesday,45
2025-10-08 14:11:38,2025,10,8,14,11,41,Wednesday,86
2025-10-08 14:12:28,2025,10,8,14,12,41,Wednesday,24
2025-10-08 14:12:42,2025,10,8,14,12,41,Wednesday,54
2025-10-08 14:13:14,2025,10,8,14,13,41,Wednesday,42
2025-10-08 14:13:39,2025,10,8,14,13,41,Wednesday,88
2025-10-08 14:14:32,2025,10,8,14,14,41,Wednesday,28
2025-10-08 14:14:59,2025,10,8,14,14,41,Wednesday,13
2025-10-08 14:15:16,2025,10,8,14,15,41,Wednesday,6
2025-10-08 14:15:55,2025,10,8,14,15,41,Wednesday,9
2025-10-08 14:18:15,2025,10,8,14,18,41,Wednesday,38
2025-10-08 14:32:55,2025,10,8,14,32,41,Wednesday,23
2025-10-08 14:33:55,2025,10,8,14,33,41,Wednesday,28
2025-10-08 14:52:31,2025,10,8,14,52,41,Wednesday,1
2025-10-08 14:53:31,2025,10,8,14,53,41,Wednesday,26
2025-10-08 15:24:14,2025,10,8,15,24,41,Wednesday,6
2025-10-08 17:16:56,2025,10,8,17,16,41,Wednesday,52
2025-10-08 17:18:40,2025,10,8,17,18,41,Wednesday,11
2025-10-08 17:19:33,2025,10,8,17,19,41,Wednesday,57
2025-10-08 17:20:03,2025,10,8,17,20,41,Wednesday,22
2025-10-08 17:20:36,2025,10,8,17,20,41,Wednesday,15
2025-10-08 17:21:55,2025,10,8,17,21,41,Wednesday,19
2025-10-08 17:22:55,2025,10,8,17,22,41,Wednesday,25
2025-10-08 17:23:15,2025,10,8,17,23,41,Wednesday,11
2025-10-08 17:24:57,2025,10,8,17,24,41,Wednesday,22
2025-10-08 17:26:50,2025,10,8,17,26,41,Wednesday,40
2025-10-08 17:28:42,2025,10,8,17,28,41,Wednesday,14
2025-10-08 17:29:42,2025,10,8,17,29,41,Wednesday,7
2025-10-08 17:30:00,2025,10,8,17,30,41,Wednesday,24
2025-10-08 17:31:00,2025,10,8,17,31,41,Wednesday,22
2025-10-08 17:31:10,2025,10,8,17,31,41,Wednesday,22
2025-10-08 17:31:40,2025,10,8,17,31,41,Wednesday,24
2025-10-08 17:32:40,2025,10,8,17,32,41,Wednesday,48
